panel,representation,model,protocol,seed,sample_id,sample_type,representation_split,umap_x,umap_y,silhouette_original,knn5_purity_original,status,budget_pct,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0235,Conflict,official_test,7.29623556137085,4.284855842590332,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0238,Conflict,official_test,7.469812393188477,3.699924945831299,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0245,Conflict,official_test,7.385150909423828,4.349543571472168,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0247,Conflict,official_test,7.735604763031006,3.981663227081299,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0254,Conflict,official_test,6.102176666259766,5.441601753234863,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0267,Conflict,official_test,5.6814093589782715,5.338632583618164,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0291,Conflict,official_test,7.008535861968994,4.737216472625732,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0305,Conflict,official_test,-0.5684641599655151,9.005433082580566,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0307,Conflict,official_test,0.9210032224655151,8.34476375579834,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0313,Conflict,official_test,1.0622601509094238,8.480399131774902,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0315,Conflict,official_test,1.1118133068084717,8.508302688598633,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
