sample_id,model,sample_type,S,D,R,metric,value
gen:accept_a_svt:S0035,qwen3_vl_8b,Conflict,0.0024495633315228284,15.265186727419461,0.9314608638690798,S,0.0024495633315228284
gen:accept_a_svt:S0035,qwen3_vl_8b,Conflict,0.0024495633315228284,15.265186727419461,0.9314608638690798,D,15.265186727419461
gen:accept_a_svt:S0035,qwen3_vl_8b,Conflict,0.0024495633315228284,15.265186727419461,0.9314608638690798,abs_R,0.9314608638690798
gen:accept_a_svt:S0040,qwen3_vl_8b,Conflict,0.0027914858001089095,14.745207610021613,0.9399873739089576,S,0.0027914858001089095
gen:accept_a_svt:S0040,qwen3_vl_8b,Conflict,0.0027914858001089095,14.745207610021613,0.9399873739089576,D,14.745207610021613
gen:accept_a_svt:S0040,qwen3_vl_8b,Conflict,0.0027914858001089095,14.745207610021613,0.9399873739089576,abs_R,0.9399873739089576
gen:accept_a_svt:S0101,qwen3_vl_8b,Conflict,0.02490128999813158,7.345176752131372,0.978566575948326,S,0.02490128999813158
gen:accept_a_svt:S0115,qwen3_vl_8b,Conflict,0.023387565897726486,10.190806954968643,0.9144423731118264,S,0.023387565897726486
gen:accept_a_svt:S0116,qwen3_vl_8b,Conflict,0.03517346141350489,3.9499310023346808,0.929656355920766,S,0.03517346141350489
gen:accept_a_svt:S0118,qwen3_vl_8b,Conflict,0.03821017514203587,4.999448340589146,0.9720992279138515,S,0.03821017514203587
gen:accept_a_svt:S0126,qwen3_vl_8b,Conflict,0.006760884520462188,11.96435832374307,0.9543631398314898,S,0.006760884520462188
gen:accept_a_svt:S0126,qwen3_vl_8b,Conflict,0.006760884520462188,11.96435832374307,0.9543631398314898,D,11.96435832374307
gen:accept_a_svt:S0135,qwen3_vl_8b,Conflict,0.020772297663594314,10.324656725941873,0.9631482569767675,S,0.020772297663594314
gen:accept_a_svt:S0136,qwen3_vl_8b,Conflict,0.017863444568214943,9.84591030954282,0.9888422655849618,S,0.017863444568214943
gen:accept_a_svt:S0143,qwen3_vl_8b,Conflict,0.010946348277361047,11.988154483171542,0.967894904344038,S,0.010946348277361047
gen:accept_a_svt:S0147,qwen3_vl_8b,Conflict,0.0324203950067412,6.6468964259792624,0.9859639513280349,S,0.0324203950067412
gen:accept_a_svt:S0148,qwen3_vl_8b,Conflict,0.025654553340914252,6.633082113505159,0.8695928462654201,S,0.025654553340914252
gen:accept_a_svt:S0161,qwen3_vl_8b,Conflict,0.010272061044298118,6.438493685027488,0.27850777283251205,S,0.010272061044298118
gen:accept_a_svt:S0162,qwen3_vl_8b,Conflict,0.01168670673119025,11.613355320426662,0.9832284705484593,S,0.01168670673119025
gen:accept_a_svt:S0168,qwen3_vl_8b,Conflict,0.0055059478562338345,9.73553536569942,0.18932322895019635,S,0.0055059478562338345
gen:accept_a_svt:S0168,qwen3_vl_8b,Conflict,0.0055059478562338345,9.73553536569942,0.18932322895019635,D,9.73553536569942
gen:accept_a_svt:S0174,qwen3_vl_8b,Conflict,0.0030750293881830677,14.292217721252666,0.9196890612463302,S,0.0030750293881830677
gen:accept_a_svt:S0174,qwen3_vl_8b,Conflict,0.0030750293881830677,14.292217721252666,0.9196890612463302,D,14.292217721252666
gen:accept_a_svt:S0174,qwen3_vl_8b,Conflict,0.0030750293881830677,14.292217721252666,0.9196890612463302,abs_R,0.9196890612463302
gen:accept_a_svt:S0175,qwen3_vl_8b,Conflict,0.005350742616868759,10.302692500872501,0.990603741594732,S,0.005350742616868759
gen:accept_a_svt:S0175,qwen3_vl_8b,Conflict,0.005350742616868759,10.302692500872501,0.990603741594732,D,10.302692500872501
gen:accept_a_svt:S0177,qwen3_vl_8b,Conflict,0.00351862626998182,13.01803306723719,0.9911380019550313,S,0.00351862626998182
