sample_id,model,sample_type,S,D,R,stable,direction_emphasized,lean
gen:accept_a_svt:S0035,qwen3_vl_8b,Conflict,0.0024495633315228284,15.265186727419461,0.9314608638690798,true,true,V
gen:accept_a_svt:S0040,qwen3_vl_8b,Conflict,0.0027914858001089095,14.745207610021613,0.9399873739089576,true,true,V
gen:accept_a_svt:S0126,qwen3_vl_8b,Conflict,0.006760884520462188,11.96435832374307,0.9543631398314898,true,false,V
gen:accept_a_svt:S0168,qwen3_vl_8b,Conflict,0.0055059478562338345,9.73553536569942,0.18932322895019635,true,false,V
gen:accept_a_svt:S0174,qwen3_vl_8b,Conflict,0.0030750293881830677,14.292217721252666,0.9196890612463302,true,true,V
gen:accept_a_svt:S0175,qwen3_vl_8b,Conflict,0.005350742616868759,10.302692500872501,0.990603741594732,true,false,V
gen:accept_a_svt:S0177,qwen3_vl_8b,Conflict,0.00351862626998182,13.01803306723719,0.9911380019550313,true,true,V
gen:accept_a_svt:S0193,qwen3_vl_8b,Conflict,0.004099667555070595,13.594809232817399,0.98514663148247,true,true,V
gen:accept_a_svt:S0221,qwen3_vl_8b,Conflict,0.00606916844488293,8.836583067936328,0.6065967764825378,true,false,V
gen:accept_a_svt:S0233,qwen3_vl_8b,Conflict,0.0053269292487492905,10.651829645462112,0.9531287186337603,true,false,V
gen:accept_a_svt:S0235,qwen3_vl_8b,Conflict,0.002999082468249658,12.584082182283337,0.972335770117132,true,true,V
gen:accept_a_svt:S0238,qwen3_vl_8b,Conflict,0.006055704052371369,8.98330384285667,0.8090143458195336,true,false,V
gen:accept_a_svt:S0245,qwen3_vl_8b,Conflict,0.003695196400423243,12.066013829230494,0.95234166725291,true,true,V
gen:accept_a_svt:S0247,qwen3_vl_8b,Conflict,0.0032850009744426942,13.667390320755043,0.9708811666559002,true,true,V
gen:accept_a_svt:S0305,qwen3_vl_8b,Conflict,0.004564499836839267,9.963212868890787,0.9248451693084777,true,false,V
gen:accept_a_svt:S0307,qwen3_vl_8b,Conflict,0.004722268730930213,9.351416946345966,0.9940345675668094,true,false,V
gen:accept_a_svt:S0313,qwen3_vl_8b,Conflict,0.004515885520737375,7.469605493170576,0.7027314376933615,true,false,V
gen:accept_a_svt:S0329,qwen3_vl_8b,Conflict,0.003434260434557365,8.636682446535215,0.8160559211988687,true,false,V
gen:accept_a_svt:S0331,qwen3_vl_8b,Conflict,0.003360987083019537,14.204772576876989,-0.6150455461679282,true,true,T/A
gen:accept_a_svt:S0342,qwen3_vl_8b,Conflict,0.005566057413687619,8.835606049334048,0.8974200606128746,true,false,V
gen:accept_a_svt:S0355,qwen3_vl_8b,Conflict,0.007644493694840233,17.301198303245137,0.9812552929829276,true,true,V
gen:accept_a_svt:S0362,qwen3_vl_8b,Conflict,0.008267054272990407,9.618242189645096,0.5640651315961647,true,false,V
gen:accept_a_svt:S0364,qwen3_vl_8b,Conflict,0.005678278113297157,7.7423307428816015,0.549798168206768,true,false,V
gen:accept_a_svt:S0373,qwen3_vl_8b,Conflict,0.004520194566865268,15.516350656488749,0.953554339828005,true,true,V
gen:accept_a_svt:S0375,qwen3_vl_8b,Conflict,0.007014938339400335,9.273454258339427,0.6559683731102791,true,false,V
gen:accept_a_svt:S0393,qwen3_vl_8b,Conflict,0.006214075076185349,21.699012724273498,0.8970334916112227,true,true,V
gen:accept_a_svt:S0412,qwen3_vl_8b,Conflict,0.006035967805013966,11.85878745248045,0.8590885021637202,true,false,V
gen:accept_a_svt:S0423,qwen3_vl_8b,Conflict,0.004867570423960051,9.98636541944206,0.2852763963183629,true,false,V
gen:accept_a_svt:S0424,qwen3_vl_8b,Conflict,0.00796537302789283,9.783056508843124,0.043423594816968496,true,false,V
gen:accept_a_svt:S0426,qwen3_vl_8b,Conflict,0.006686233725676759,12.363656754352215,0.7526231908571969,true,true,V
gen:accept_a_svt:S0429,qwen3_vl_8b,Conflict,0.007622316888238944,11.841165330692325,0.22587390388020406,true,false,V
gen:accept_a_svt:S0432,qwen3_vl_8b,Conflict,0.007284475319468987,10.6324984519788,0.8949897816133227,true,false,V
gen:accept_a_svt:S0443,qwen3_vl_8b,Conflict,0.004798369463444481,13.703373599306156,0.11069998002167637,true,true,V
gen:accept_a_svt:S0444,qwen3_vl_8b,Conflict,0.007994016078846351,12.467173264710896,0.6591259697504863,true,true,V
gen:accept_a_svt:S0448,qwen3_vl_8b,Conflict,0.004491094648044155,13.394858531384427,0.2654332822268175,true,true,V
gen:accept_a_svt:S0449,qwen3_vl_8b,Conflict,0.005606722199825835,10.744069040330302,0.3214466517932613,true,false,V
gen:accept_a_svt:S0467,qwen3_vl_8b,Conflict,0.004836118618456667,6.680676300428379,0.487626007781465,true,false,V
gen:accept_a_svt:S0470,qwen3_vl_8b,Conflict,0.007289294058953168,9.54869764937574,0.2615685956069708,true,false,V
gen:accept_a_svt:S0484,qwen3_vl_8b,Conflict,0.004512821194080522,11.82689755478923,0.9379981075440935,true,false,V
gen:accept_a_svt:S0486,qwen3_vl_8b,Conflict,0.0034922983063464448,11.520508626751191,0.9697835609904825,true,false,V
gen:accept_a_svt:S0499,qwen3_vl_8b,Conflict,0.006209423893593083,10.920446476830072,0.6717686683421907,true,false,V
gen:accept_a_svt:S0506,qwen3_vl_8b,Conflict,0.0058511380854960925,10.342870503579656,0.8798992112412262,true,false,V
gen:accept_a_svt:S0533,qwen3_vl_8b,Conflict,0.005229384025787739,8.937874805760195,0.7784158522567165,true,false,V
