encoder,model,seed,val_balanced_accuracy_ac,val_D_gap,val_D_mannwhitney_p,val_state_separation
ca_tme_lstm,gemma3_4b,20260719,0.6320603453245706,,,
ca_tme_lstm,gemma4_12b,20260717,0.49383751632367096,,,
ca_tme_lstm,gemma4_12b,20260718,0.4924363019378699,,,
ca_tme_lstm,gemma4_12b,20260719,0.5251122401319238,,,
ca_tme_lstm,glm4_6v_flash,20260717,0.5297222702640378,,,
ca_tme_lstm,glm4_6v_flash,20260718,0.5260650870517698,,,
ca_tme_lstm,glm4_6v_flash,20260719,0.5080746281563473,,,
ca_tme_lstm,internvl3_5_8b,20260717,0.5099086244667359,,,
ca_tme_lstm,internvl3_5_8b,20260718,0.6396755736192783,,,
ca_tme_lstm,internvl3_5_8b,20260719,0.6761735414504785,,,
ca_tme_lstm,llava_onevision_qwen2_7b,20260717,0.5881777499135248,,,
ca_tme_lstm,llava_onevision_qwen2_7b,20260718,0.5486009022252969,,,
ca_tme_lstm,llava_onevision_qwen2_7b,20260719,0.5632584601637265,,,
ca_tme_lstm,llava_v1_5_7b,20260717,0.5172914504784965,,,
ca_tme_lstm,llava_v1_5_7b,20260718,0.5220277729735963,,,
ca_tme_lstm,llava_v1_5_7b,20260719,0.6318495618586417,,,
ca_tme_lstm,minicpm_v_2_6,20260717,0.5168158365040931,,,
ca_tme_lstm,minicpm_v_2_6,20260718,0.5501250288250894,,,
ca_tme_lstm,minicpm_v_2_6,20260719,0.5041544160036896,,,
ca_tme_lstm,minicpm_v_4_5,20260717,0.5263515363772627,,,
ca_tme_lstm,minicpm_v_4_5,20260718,0.6254341779084516,,,
ca_tme_lstm,minicpm_v_4_5,20260719,0.6090813444021677,,,
ca_tme_lstm,phi3_5_vision,20260717,0.5843007753949037,,,
ca_tme_lstm,phi3_5_vision,20260718,0.514639542257581,,,
ca_tme_lstm,phi3_5_vision,20260719,0.5716339501902455,,,
ca_tme_lstm,qwen2_5_omni_7b,20260717,0.6255278384123384,,,
ca_tme_lstm,qwen2_5_omni_7b,20260718,0.5078925544996139,,,
ca_tme_lstm,qwen2_5_omni_7b,20260719,0.5600329809644549,,,
ca_tme_lstm,qwen2_5_vl_7b,20260717,0.5914620085322264,,,
ca_tme_lstm,qwen2_5_vl_7b,20260718,0.5537551885160844,,,
ca_tme_lstm,qwen2_5_vl_7b,20260719,0.5824739853568546,,,
ca_tme_lstm,qwen3_5_4b,20260717,0.5663373400207541,,,
ca_tme_lstm,qwen3_5_4b,20260718,0.542479173872939,,,
ca_tme_lstm,qwen3_5_4b,20260719,0.5852447970713709,,,
ca_tme_lstm,qwen3_5_9b,20260717,0.6009941052692263,,,
ca_tme_lstm,qwen3_5_9b,20260718,0.5416810792113456,,,
ca_tme_lstm,qwen3_5_9b,20260719,0.5774854433298744,,,
ca_tme_lstm,qwen3_vl_8b,20260717,0.6013652282947077,,,
ca_tme_lstm,qwen3_vl_8b,20260718,0.6166947711287905,,,
ca_tme_lstm,qwen3_vl_8b,20260719,0.6569165801913986,,,
ca_tme_bilstm,gemma3_12b,20260717,0.5663445462930935,,,
ca_tme_bilstm,gemma3_12b,20260718,0.573080609362389,,,
ca_tme_bilstm,gemma3_12b,20260719,0.5494116078634843,,,
ca_tme_bilstm,gemma3_4b,20260717,0.6140861005419117,,,
ca_tme_bilstm,gemma3_4b,20260718,0.5419116799262078,,,
ca_tme_bilstm,gemma3_4b,20260719,0.5092042113455552,,,
ca_tme_bilstm,gemma4_12b,20260717,0.4879991230495,,,
ca_tme_bilstm,gemma4_12b,20260718,0.541869620337626,,,
ca_tme_bilstm,gemma4_12b,20260719,0.5289917928871688,,,
ca_tme_bilstm,glm4_6v_flash,20260717,0.5248670442753373,,,
ca_tme_bilstm,glm4_6v_flash,20260718,0.5332155107805834,,,
ca_tme_bilstm,glm4_6v_flash,20260719,0.5334244926784273,,,
ca_tme_bilstm,internvl3_5_8b,20260717,0.5908548800876283,,,
ca_tme_bilstm,internvl3_5_8b,20260718,0.605861942234521,,,
ca_tme_bilstm,internvl3_5_8b,20260719,0.5509015046696645,,,
ca_tme_bilstm,llava_onevision_qwen2_7b,20260717,0.5466714228064107,,,
ca_tme_bilstm,llava_onevision_qwen2_7b,20260718,0.5874228928859679,,,
ca_tme_bilstm,llava_onevision_qwen2_7b,20260719,0.5436754150812868,,,
ca_tme_bilstm,llava_v1_5_7b,20260717,0.529643001268304,,,
ca_tme_bilstm,llava_v1_5_7b,20260718,0.5337307592528536,,,
ca_tme_bilstm,llava_v1_5_7b,20260719,0.5191398593335639,,,
ca_tme_bilstm,minicpm_v_2_6,20260717,0.5313634987893463,,,
ca_tme_bilstm,minicpm_v_2_6,20260718,0.5326390089934279,,,
ca_tme_bilstm,minicpm_v_2_6,20260719,0.5852898362734924,,,
ca_tme_bilstm,minicpm_v_4_5,20260717,0.603008258388101,,,
ca_tme_bilstm,minicpm_v_4_5,20260718,0.5410883633114263,,,
ca_tme_bilstm,minicpm_v_4_5,20260719,0.5226745359160614,,,
ca_tme_bilstm,phi3_5_vision,20260717,0.5040877579845497,,,
ca_tme_bilstm,phi3_5_vision,20260718,0.5025816470656059,,,
ca_tme_bilstm,phi3_5_vision,20260719,0.5419242909028018,,,
ca_tme_bilstm,qwen2_5_omni_7b,20260717,0.5746408792381968,,,
ca_tme_bilstm,qwen2_5_omni_7b,20260718,0.5307361618164314,,,
ca_tme_bilstm,qwen2_5_omni_7b,20260719,0.5401490815849928,,,
ca_tme_bilstm,qwen2_5_vl_7b,20260717,0.5695945751181829,,,
ca_tme_bilstm,qwen2_5_vl_7b,20260718,0.5644402888273954,,,
ca_tme_bilstm,qwen2_5_vl_7b,20260719,0.5788564366424536,,,
ca_tme_bilstm,qwen3_5_4b,20260717,0.5862987144010147,,,
ca_tme_bilstm,qwen3_5_4b,20260718,0.5963784878358123,,,
ca_tme_bilstm,qwen3_5_4b,20260719,0.5952867375763865,,,
ca_tme_bilstm,qwen3_5_9b,20260717,0.5839818978438833,,,
ca_tme_bilstm,qwen3_5_9b,20260718,0.5440267208578347,,,
ca_tme_bilstm,qwen3_5_9b,20260719,0.554733439986164,,,
ca_tme_bilstm,qwen3_vl_8b,20260717,0.6288607604058573,,,
ca_tme_bilstm,qwen3_vl_8b,20260718,0.6278104462123832,,,
ca_tme_bilstm,qwen3_vl_8b,20260719,0.6132285541335178,,,
