model,protocol,method,budget_pct,seed,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test,test_sample_ids_sha256,label_artifact_sha256,encoder_checkpoint_sha256,status
qwen3_vl_8b,VT,Trajectory MLP,10,20260717,0.6545454545454545,0.4777611194402799,0.33663058124271394,51,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,8bc80e7cbb76fddb88842f1838133705a6f471ba92ddfc831dc32c6427ab8541,Ready
qwen3_vl_8b,VT,TME,10,20260717,0.6909090909090909,0.40860215053763443,0.29653284936797375,51,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,94a16ea4176eae52fd49a9f4df3a4bcb7c59a65eeb29608bda98d4fa72d8b84a,Ready
qwen3_vl_8b,VT,Single-Point,25,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,82d72cc498f021496ad0ff990e01d9a38586dca9067878d1aacff3ecc299cb7a,Ready
qwen3_vl_8b,VT,Trajectory MLP,25,20260717,0.6363636363636364,0.6148459383753502,0.5061086465448846,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,cc3de2e7b19da112e02cca0a91823695739c79992808a16903788270263d3cab,Ready
qwen3_vl_8b,VT,TME,25,20260717,0.7,0.5535604476694134,0.4479115239210622,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,61bf233e624b1aad07f566cdef0a92cc80960c3bc084ad6b47bfdb39c6720e71,Ready
qwen3_vl_8b,VT,Single-Point,50,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,349806744f6e96126bd2d67da4be47205ad9c55ac209b95aa16ff8ea28971110,Ready
qwen3_vl_8b,VT,Trajectory MLP,50,20260717,0.6909090909090909,0.40860215053763443,0.29888666856533264,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,e8719c392ab402ee9501ff2f1992103c131f9d629e163382fc867e970529b9b2,Ready
qwen3_vl_8b,VT,TME,50,20260717,0.6727272727272727,0.6283783783783783,0.47589705169989427,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,12bcc65eccadc530bbd32a604c478b6eb06f24a5b4e4552cd3a8671fbf0e14ec,Ready
qwen3_vl_8b,VT,Single-Point,100,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,b515111fcd49ac4aed543c611d041f2893d6aa7a1594056acdf6f6cf4858ba4b,Ready
qwen3_vl_8b,VT,Trajectory MLP,100,20260717,0.6909090909090909,0.40860215053763443,0.28805131693674074,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,240f4a34e02b05380c67d7168062c25c98160645e62faed62e5ae74675d59ccc,Ready
