prompt_count,full_prefill_seconds,prompt_kv_prefill_seconds,prefill_speedup,generation_seconds,full_end_to_end_seconds,prompt_kv_end_to_end_seconds,end_to_end_speedup,condition_count
1,0.8035486530279741,0.7860430072294549,,2.9533463966334237,3.7568950496613978,3.7393894038628783,,3
2,1.9605638578766957,1.7410354142077267,1.1260907399571005,6.571115717408247,8.531679575284944,8.312151131615973,1.026410545259936,3
4,3.6635025805328043,2.8352883719606323,1.2921093377177197,13.175076723401435,16.83857930393424,16.01036509536207,1.0517298764668452,3
8,7.364072484569624,5.68458643341437,1.2954456002785226,27.23363505739253,34.59770754196215,32.9182214908069,1.051019951112009,3
16,14.344213421153835,10.966702058026566,1.307978765654097,53.90623254936654,68.25044597052037,64.8729346073931,1.0520634897059575,3
32,27.51786691765301,19.752328761806712,1.3931454487969952,103.59207289197948,131.1099398096325,123.34440165378619,1.0629581728211976,3
64,48.85042995498516,36.449440929829144,1.3402243960073312,208.16857765079476,257.0190076057799,244.6180185806239,1.0506953212077823,3
