prompt_count,state_index_mae,state_index_mae_s,state_index_mae_d,state_index_mae_r,sample_count,measured_runs,reference_prompt_count
1,,,,,5,25,64
2,0.9611314160806351,0.0076963757127844045,2.85842688601788,0.01727098651124059,5,25,64
4,0.2266727231503355,0.0031398918658226945,0.6714643647034207,0.005413912881763053,5,25,64
8,0.07701122208252542,0.0010474917257030287,0.20833512827590264,0.021651046245970584,5,25,64
16,0.050678306877959434,0.0009544159686403958,0.14458099610045122,0.006499508564786668,5,25,64
32,0.026941070148569266,0.0004686698075145799,0.07166818674525724,0.00868635389293598,5,25,64
64,0.0,0.0,0.0,0.0,5,25,64
